,id,first_name,last_name,email,gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,No,Yes
72,73,282.0,188.0,1219.0,1.0,2.3084873670979085,10,0.0,1,1,61,70,69,64,59,78,80,1.0,0.0
73,74,313.0,299.0,1375.0,1.0,2.3084873670979085,8,0.0,3,1,51,54,66,87,99,58,68,1.0,0.0
74,75,31.0,371.0,134.0,0.0,-0.43318409026302795,2,0.0,20,0,85,100,64,68,73,81,87,1.0,0.0
75,76,22.0,115.0,83.0,0.0,-0.43318409026302795,7,1.0,27,0,99,90,96,92,100,98,77,0.0,1.0
76,77,204.0,230.0,820.0,0.0,-0.43318409026302795,3,0.0,24,0,87,63,60,90,89,99,80,1.0,0.0
77,78,357.0,163.0,1586.0,0.0,-0.43318409026302795,1,1.0,5,0,75,91,80,93,74,93,65,0.0,1.0
78,79,86.0,155.0,340.0,0.0,-0.43318409026302795,7,0.0,34,0,88,94,80,63,68,77,64,1.0,0.0
79,80,386.0,123.0,1743.0,1.0,-0.43318409026302795,3,0.0,16,1,87,79,89,68,93,75,92,1.0,0.0
80,81,148.0,99.0,599.0,0.0,2.3084873670979085,3,0.0,3,0,87,67,94,92,62,58,65,1.0,0.0
81,82,278.0,275.0,1201.0,0.0,-0.43318409026302795,1,0.0,15,0,76,67,83,85,91,61,67,1.0,0.0
82,83,76.0,603.0,300.0,0.0,-0.43318409026302795,7,0.0,11,0,60,80,61,63,95,92,75,1.0,0.0
83,84,84.0,93.0,324.0,1.0,-0.43318409026302795,7,0.0,32,1,85,65,99,100,88,93,72,1.0,0.0
84,85,195.0,167.0,760.0,1.0,-0.43318409026302795,3,0.0,28,1,73,67,70,71,65,73,87,1.0,0.0
85,86,127.0,348.0,550.0,1.0,-0.43318409026302795,1,0.0,24,1,85,71,69,80,70,77,66,1.0,0.0
86,87,204.0,53.0,813.0,0.0,-0.43318409026302795,2,0.0,9,0,91,76,71,72,92,67,90,1.0,0.0
87,88,451.0,77.0,1996.0,0.0,-0.43318409026302795,3,1.0,14,0,99,95,83,89,81,63,70,0.0,1.0
88,89,363.0,19.0,1610.0,1.0,-0.43318409026302795,3,0.0,16,1,93,96,68,87,69,89,100,1.0,0.0
89,90,448.0,81.0,1973.0,1.0,-0.43318409026302795,3,0.0,29,1,89,75,60,80,62,85,73,1.0,0.0
90,91,339.0,490.0,1513.0,1.0,-0.43318409026302795,0,0.0,14,1,95,78,95,73,32,65,68,1.0,0.0
91,92,195.0,571.0,769.0,1.0,-0.43318409026302795,4,0.0,10,1,68,82,95,63,62,98,93,1.0,0.0
92,93,363.0,492.0,1631.0,1.0,-0.43318409026302795,5,0.0,31,1,98,73,73,77,87,98,83,1.0,0.0
93,94,191.0,81.0,738.0,1.0,-0.43318409026302795,4,0.0,34,1,79,92,79,76,84,67,86,1.0,0.0
94,95,327.0,548.0,1439.0,0.0,-0.43318409026302795,5,0.0,3,0,78,79,73,96,64,93,85,1.0,0.0
95,96,441.0,336.0,1948.0,0.0,-0.43318409026302795,2,1.0,34,0,100,98,89,85,81,64,94,0.0,1.0
96,97,328.0,271.0,1444.0,0.0,-0.43318409026302795,3,1.0,2,0,86,76,84,93,76,69,91,0.0,1.0
97,98,419.0,682.0,1869.0,1.0,-0.43318409026302795,3,0.0,4,1,87,89,93,98,79,72,88,1.0,0.0
98,99,129.0,203.0,556.0,1.0,2.3084873670979085,0,0.0,28,1,100,93,85,61,96,83,86,1.0,0.0
99,100,256.0,662.0,1116.0,0.0,-0.43318409026302795,0,0.0,5,0,85,89,94,69,99,93,98,1.0,0.0
100,101,357.0,336.0,1588.0,0.0,-0.43318409026302795,2,0.0,4,0,87,73,98,91,79,60,77,1.0,0.0
101,102,1.0,500.0,7.0,0.0,-0.43318409026302795,2,0.0,25,0,96,80,100,61,81,98,65,1.0,0.0
102,103,195.0,698.0,774.0,1.0,-0.43318409026302795,5,0.0,29,1,76,87,64,74,73,90,99,1.0,0.0
103,104,401.0,495.0,1780.0,1.0,2.3084873670979085,6,0.0,1,1,90,80,63,94,64,70,79,1.0,0.0
104,105,150.0,696.0,622.0,0.0,-0.43318409026302795,7,0.0,2,0,65,60,100,91,87,78,99,1.0,0.0
105,106,108.0,81.0,442.0,0.0,-0.43318409026302795,2,0.0,0,0,98,97,62,89,62,95,77,1.0,0.0
106,107,154.0,341.0,649.0,0.0,-0.43318409026302795,3,0.0,16,0,91,80,97,89,94,95,84,1.0,0.0
107,108,44.0,449.0,197.0,1.0,-0.43318409026302795,3,1.0,31,1,86,81,83,81,81,77,86,0.0,1.0
108,109,10.0,239.0,33.0,0.0,-0.43318409026302795,1,0.0,4,0,91,93,72,61,61,87,95,1.0,0.0
109,110,346.0,7.0,1539.0,1.0,-0.43318409026302795,5,1.0,13,1,78,69,82,60,64,77,82,0.0,1.0
110,111,231.0,248.0,986.0,1.0,-0.43318409026302795,4,0.0,24,1,76,89,89,83,89,90,64,1.0,0.0
111,112,154.0,336.0,648.0,0.0,2.3084873670979085,9,0.0,2,0,82,54,85,57,50,54,76,1.0,0.0
112,113,84.0,282.0,326.0,1.0,2.3084873670979085,2,1.0,4,1,45,85,94,76,57,93,86,0.0,1.0
113,114,251.0,81.0,1070.0,0.0,-0.43318409026302795,1,0.0,22,0,92,75,65,97,61,76,81,1.0,0.0
114,115,363.0,640.0,1636.0,1.0,-0.43318409026302795,6,1.0,0,1,43,65,91,75,64,94,100,0.0,1.0
115,116,363.0,296.0,1624.0,1.0,-0.43318409026302795,2,0.0,24,1,96,66,69,65,72,84,77,1.0,0.0
116,117,17.0,543.0,53.0,0.0,-0.43318409026302795,6,0.0,1,0,78,71,50,55,54,97,95,1.0,0.0
117,118,45.0,46.0,200.0,0.0,-0.43318409026302795,1,0.0,19,0,68,96,64,70,74,63,75,1.0,0.0
118,119,24.0,174.0,91.0,1.0,-0.43318409026302795,1,1.0,19,1,93,73,94,65,60,63,93,0.0,1.0
119,120,106.0,654.0,438.0,0.0,-0.43318409026302795,6,0.0,5,0,55,93,67,74,55,60,64,1.0,0.0
120,121,227.0,50.0,950.0,0.0,2.3084873670979085,0,0.0,13,0,66,90,83,80,76,90,91,1.0,0.0
121,122,35.0,98.0,162.0,1.0,-0.43318409026302795,4,0.0,26,1,98,92,91,99,97,88,75,1.0,0.0
122,123,191.0,533.0,744.0,1.0,-0.43318409026302795,4,0.0,41,1,94,94,94,89,85,86,85,1.0,0.0
123,124,446.0,370.0,1963.0,0.0,-0.43318409026302795,3,0.0,47,0,96,100,96,91,91,96,89,1.0,0.0
124,125,204.0,429.0,833.0,0.0,-0.43318409026302795,2,0.0,9,0,69,62,82,89,81,72,71,1.0,0.0
125,126,278.0,663.0,1210.0,0.0,-0.43318409026302795,4,0.0,7,0,77,95,98,69,60,89,71,1.0,0.0
126,127,62.0,366.0,256.0,1.0,-0.43318409026302795,1,0.0,3,1,89,67,86,87,87,68,78,1.0,0.0
127,128,296.0,631.0,1257.0,1.0,-0.43318409026302795,4,1.0,14,1,96,67,80,83,86,77,75,0.0,1.0
128,129,18.0,687.0,69.0,0.0,-0.43318409026302795,4,0.0,26,0,82,70,80,70,96,69,86,1.0,0.0
129,130,313.0,429.0,1381.0,1.0,-0.43318409026302795,6,1.0,27,1,99,97,64,90,87,68,69,0.0,1.0
130,131,18.0,646.0,68.0,0.0,2.3084873670979085,5,0.0,25,0,96,73,90,85,63,84,87,1.0,0.0
131,132,86.0,472.0,342.0,0.0,2.3084873670979085,4,0.0,16,0,95,82,66,63,67,92,69,1.0,0.0
132,133,423.0,501.0,1891.0,0.0,-0.43318409026302795,4,0.0,27,0,90,63,69,80,99,69,79,1.0,0.0
133,134,103.0,500.0,426.0,1.0,2.3084873670979085,6,0.0,0,1,88,52,53,56,85,93,78,1.0,0.0
134,135,93.0,329.0,385.0,1.0,-0.43318409026302795,1,0.0,3,1,87,62,87,96,85,90,74,1.0,0.0
135,136,217.0,104.0,905.0,0.0,-0.43318409026302795,2,0.0,6,0,62,83,84,75,83,85,86,1.0,0.0
136,137,119.0,493.0,510.0,1.0,-0.43318409026302795,2,0.0,12,1,85,65,60,78,81,96,76,1.0,0.0
137,138,315.0,296.0,1402.0,0.0,-0.43318409026302795,1,1.0,11,0,79,97,76,67,61,90,95,0.0,1.0
138,139,210.0,69.0,868.0,0.0,-0.43318409026302795,4,0.0,23,0,90,94,98,96,68,82,81,1.0,0.0
139,140,270.0,562.0,1173.0,1.0,-0.43318409026302795,2,0.0,23,1,97,71,82,80,97,93,78,1.0,0.0
140,141,195.0,598.0,772.0,1.0,-0.43318409026302795,0,0.0,16,1,88,69,87,81,77,67,93,1.0,0.0
141,142,290.0,651.0,1237.0,1.0,2.3084873670979085,2,1.0,3,1,71,85,77,89,98,63,100,0.0,1.0
142,143,82.0,689.0,319.0,0.0,-0.43318409026302795,1,0.0,29,0,70,99,79,96,60,97,100,1.0,0.0
143,144,2.0,431.0,12.0,1.0,-0.43318409026302795,3,1.0,18,1,93,68,76,99,80,80,75,0.0,1.0
144,145,394.0,507.0,1754.0,0.0,-0.43318409026302795,0,0.0,3,0,92,79,81,61,86,72,88,1.0,0.0
145,146,440.0,336.0,1941.0,1.0,-0.43318409026302795,3,0.0,6,1,83,72,68,94,100,98,92,1.0,0.0
146,147,298.0,701.0,1273.0,1.0,-0.43318409026302795,8,0.0,2,1,68,97,51,93,68,58,78,1.0,0.0
147,148,303.0,324.0,1303.0,1.0,-0.43318409026302795,0,0.0,34,1,92,90,65,79,96,87,74,1.0,0.0
148,149,411.0,463.0,1828.0,0.0,-0.43318409026302795,4,1.0,22,0,69,91,82,99,94,75,74,0.0,1.0
149,150,236.0,254.0,1005.0,0.0,2.3084873670979085,5,0.0,4,0,76,72,72,65,82,71,93,1.0,0.0
150,151,104.0,502.0,430.0,0.0,-0.43318409026302795,3,0.0,3,0,86,92,79,73,73,61,60,1.0,0.0
151,152,401.0,551.0,1781.0,1.0,2.3084873670979085,10,0.0,2,1,41,57,97,56,50,98,83,1.0,0.0
152,153,148.0,548.0,606.0,0.0,-0.43318409026302795,5,0.0,18,0,91,100,84,72,84,90,82,1.0,0.0
153,154,448.0,253.0,1977.0,1.0,-0.43318409026302795,0,0.0,8,1,78,67,82,70,65,68,81,1.0,0.0
154,155,326.0,440.0,1434.0,0.0,-0.43318409026302795,1,0.0,33,0,89,73,85,84,73,81,98,1.0,0.0
155,156,303.0,461.0,1309.0,1.0,-0.43318409026302795,0,1.0,13,1,96,71,88,74,80,92,65,0.0,1.0
156,157,29.0,440.0,129.0,0.0,-0.43318409026302795,0,1.0,17,0,66,99,85,90,76,64,95,0.0,1.0
157,158,62.0,567.0,260.0,1.0,2.3084873670979085,8,0.0,1,1,97,54,62,66,58,69,96,1.0,0.0
158,159,127.0,507.0,552.0,1.0,2.3084873670979085,7,1.0,3,1,49,64,97,61,62,72,65,0.0,1.0
159,160,313.0,544.0,1385.0,1.0,2.3084873670979085,4,1.0,33,1,88,66,96,82,65,76,79,0.0,1.0
160,161,373.0,601.0,1667.0,1.0,-0.43318409026302795,1,0.0,12,1,92,64,77,61,76,72,87,1.0,0.0
161,162,34.0,624.0,159.0,1.0,2.3084873670979085,3,0.0,24,1,96,66,92,88,65,76,72,1.0,0.0
162,163,434.0,589.0,1920.0,1.0,-0.43318409026302795,4,0.0,33,1,86,88,99,79,93,97,91,1.0,0.0
163,164,331.0,132.0,1452.0,1.0,-0.43318409026302795,1,1.0,44,1,86,100,100,96,95,97,93,0.0,1.0
164,165,126.0,576.0,547.0,0.0,-0.43318409026302795,1,0.0,15,0,88,72,96,60,90,80,88,1.0,0.0
165,166,278.0,594.0,1206.0,0.0,-0.43318409026302795,2,0.0,5,0,92,81,99,98,77,80,73,1.0,0.0
166,167,268.0,532.0,1152.0,0.0,2.3084873670979085,7,0.0,5,0,87,76,71,65,64,81,61,1.0,0.0
167,168,20.0,505.0,77.0,0.0,-0.43318409026302795,5,0.0,22,0,89,94,67,68,69,92,76,1.0,0.0
168,169,157.0,582.0,657.0,1.0,-0.43318409026302795,1,0.0,9,1,97,96,66,96,71,97,66,1.0,0.0
169,170,156.0,126.0,654.0,1.0,-0.43318409026302795,4,1.0,34,1,100,62,67,97,73,84,99,0.0,1.0
170,171,354.0,469.0,1574.0,0.0,-0.43318409026302795,1,0.0,34,0,91,98,76,99,65,98,71,1.0,0.0
171,172,152.0,392.0,642.0,0.0,-0.43318409026302795,4,0.0,25,0,81,87,65,85,74,64,81,1.0,0.0
172,173,357.0,673.0,1591.0,0.0,-0.43318409026302795,5,1.0,31,0,82,66,89,76,68,83,79,0.0,1.0
173,174,222.0,50.0,914.0,1.0,-0.43318409026302795,1,0.0,33,1,100,96,75,68,77,97,81,1.0,0.0
174,175,18.0,456.0,64.0,0.0,-0.43318409026302795,10,1.0,3,0,65,100,80,83,57,81,81,0.0,1.0
175,176,207.0,30.0,849.0,1.0,-0.43318409026302795,2,0.0,20,1,68,100,89,75,84,78,90,1.0,0.0
176,177,222.0,81.0,916.0,1.0,-0.43318409026302795,3,0.0,15,1,97,92,95,75,95,90,83,1.0,0.0
177,178,428.0,69.0,1905.0,0.0,-0.43318409026302795,3,0.0,26,0,76,94,77,88,85,91,61,1.0,0.0
178,179,148.0,93.0,598.0,0.0,-0.43318409026302795,5,0.0,35,0,91,99,94,94,95,98,89,1.0,0.0
179,180,8.0,129.0,22.0,1.0,-0.43318409026302795,4,0.0,12,1,85,73,89,73,97,66,79,1.0,0.0
180,181,93.0,691.0,405.0,1.0,-0.43318409026302795,2,1.0,5,1,68,69,86,87,72,80,93,0.0,1.0
181,182,200.0,46.0,784.0,1.0,-0.43318409026302795,1,0.0,31,1,73,99,75,70,100,86,62,1.0,0.0
182,183,441.0,177.0,1946.0,0.0,-0.43318409026302795,3,1.0,28,0,65,90,75,96,91,93,85,0.0,1.0
183,184,279.0,154.0,1212.0,1.0,-0.43318409026302795,8,1.0,5,1,46,79,75,86,91,88,77,0.0,1.0
184,185,349.0,296.0,1551.0,0.0,-0.43318409026302795,1,0.0,33,0,92,84,85,77,81,69,95,1.0,0.0
185,186,205.0,375.0,844.0,0.0,-0.43318409026302795,3,0.0,2,0,69,78,69,70,100,88,85,1.0,0.0
186,187,215.0,136.0,901.0,0.0,-0.43318409026302795,5,1.0,9,0,78,99,64,99,65,84,80,0.0,1.0
187,188,256.0,378.0,1110.0,0.0,2.3084873670979085,2,1.0,0,0,92,62,86,97,54,76,76,0.0,1.0
188,189,403.0,654.0,1797.0,1.0,-0.43318409026302795,5,0.0,26,1,70,77,91,96,100,89,67,1.0,0.0
189,190,396.0,68.0,1756.0,0.0,-0.43318409026302795,5,0.0,30,0,95,79,98,95,89,99,87,1.0,0.0
190,191,343.0,500.0,1527.0,0.0,-0.43318409026302795,7,0.0,1,0,99,82,93,83,92,90,60,1.0,0.0
191,192,317.0,275.0,1415.0,1.0,-0.43318409026302795,1,1.0,26,1,96,66,79,80,88,61,85,0.0,1.0
192,193,437.0,628.0,1933.0,0.0,-0.43318409026302795,2,0.0,2,0,85,90,85,74,96,71,80,1.0,0.0
193,194,2.0,188.0,8.0,1.0,-0.43318409026302795,5,0.0,9,1,91,94,82,100,68,66,69,1.0,0.0
194,195,27.0,334.0,123.0,0.0,-0.43318409026302795,2,0.0,30,0,85,64,93,80,82,70,94,1.0,0.0
195,196,420.0,290.0,1871.0,0.0,-0.43318409026302795,3,0.0,24,0,94,73,61,68,65,85,67,1.0,0.0
196,197,298.0,458.0,1266.0,1.0,-0.43318409026302795,4,0.0,21,1,95,69,62,87,84,83,64,1.0,0.0
197,198,152.0,134.0,639.0,0.0,-0.43318409026302795,2,0.0,14,0,69,90,83,70,83,91,67,1.0,0.0
198,199,240.0,669.0,1029.0,0.0,-0.43318409026302795,1,0.0,24,0,95,72,94,96,91,61,94,1.0,0.0
199,200,245.0,220.0,1046.0,0.0,-0.43318409026302795,3,0.0,34,0,94,88,65,88,60,81,78,1.0,0.0
200,201,34.0,324.0,147.0,1.0,-0.43318409026302795,1,1.0,34,1,82,81,100,81,60,79,96,0.0,1.0
201,202,227.0,500.0,952.0,1.0,-0.43318409026302795,6,1.0,27,1,99,73,91,91,93,80,100,0.0,1.0
202,203,204.0,87.0,814.0,0.0,-0.43318409026302795,3,0.0,16,0,85,62,84,80,37,80,71,1.0,0.0
203,204,91.0,166.0,354.0,0.0,-0.43318409026302795,1,1.0,21,0,100,87,60,92,46,67,96,0.0,1.0
204,205,36.0,564.0,168.0,0.0,-0.43318409026302795,1,0.0,1,0,98,95,90,81,82,86,98,1.0,0.0
205,206,306.0,166.0,1318.0,1.0,-0.43318409026302795,3,0.0,17,1,97,78,81,67,90,95,79,1.0,0.0
206,207,303.0,264.0,1302.0,1.0,-0.43318409026302795,5,0.0,0,1,99,86,68,94,97,77,92,1.0,0.0
207,208,363.0,401.0,1629.0,1.0,-0.43318409026302795,3,1.0,12,1,99,73,77,74,62,68,99,0.0,1.0
208,209,18.0,688.0,70.0,0.0,-0.43318409026302795,2,0.0,22,0,75,83,70,71,86,95,76,1.0,0.0
209,210,314.0,633.0,1398.0,0.0,-0.43318409026302795,1,1.0,14,0,63,80,99,78,60,84,86,0.0,1.0
210,211,421.0,640.0,1877.0,1.0,-0.43318409026302795,0,0.0,41,1,96,88,90,100,94,87,96,1.0,0.0
211,212,220.0,621.0,909.0,1.0,-0.43318409026302795,4,0.0,32,1,91,73,86,73,84,60,71,1.0,0.0
212,213,432.0,158.0,1916.0,1.0,2.3084873670979085,1,0.0,4,1,52,58,60,97,93,89,68,1.0,0.0
213,214,311.0,546.0,1349.0,0.0,-0.43318409026302795,1,0.0,22,0,99,71,80,82,95,64,64,1.0,0.0
214,215,410.0,429.0,1824.0,0.0,-0.43318409026302795,3,0.0,17,0,84,62,92,74,73,98,91,1.0,0.0
215,216,83.0,445.0,322.0,1.0,-0.43318409026302795,2,0.0,2,1,100,90,82,79,94,83,78,1.0,0.0
216,217,375.0,389.0,1682.0,0.0,-0.43318409026302795,4,0.0,33,0,82,71,93,90,90,76,97,1.0,0.0
217,218,295.0,395.0,1255.0,0.0,-0.43318409026302795,5,0.0,29,0,75,88,65,80,76,94,97,1.0,0.0
218,219,418.0,639.0,1848.0,0.0,2.3084873670979085,1,0.0,27,0,66,71,94,72,96,70,63,1.0,0.0
219,220,230.0,446.0,975.0,1.0,-0.43318409026302795,6,1.0,34,1,99,88,72,76,68,92,72,0.0,1.0
220,221,84.0,490.0,331.0,1.0,-0.43318409026302795,3,0.0,2,1,99,76,94,88,75,66,84,1.0,0.0
