id,name,height,weight,base_experience,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,abilities
111,rhyhorn,10,1150,69,ground,rock,80,85,95,30,30,25,"lightning-rod, rock-head, reckless"
112,rhydon,19,1200,170,ground,rock,105,130,120,45,45,40,"lightning-rod, rock-head, reckless"
113,chansey,11,346,395,normal,,250,5,5,35,105,50,"natural-cure, serene-grace, healer"
114,tangela,10,350,87,grass,,65,55,115,100,40,60,"chlorophyll, leaf-guard, regenerator"
115,kangaskhan,22,800,172,normal,,105,95,80,40,80,90,"early-bird, scrappy, inner-focus"
116,horsea,4,80,59,water,,30,40,70,70,25,60,"swift-swim, sniper, damp"
117,seadra,12,250,154,water,,55,65,95,95,45,85,"poison-point, sniper, damp"
118,goldeen,6,150,64,water,,45,67,60,35,50,63,"swift-swim, water-veil, lightning-rod"
119,seaking,13,390,158,water,,80,92,65,65,80,68,"swift-swim, water-veil, lightning-rod"
120,staryu,8,345,68,water,,30,45,55,70,55,85,"illuminate, natural-cure, analytic"
121,starmie,11,800,182,water,psychic,60,75,85,100,85,115,"illuminate, natural-cure, analytic"
122,mr-mime,13,545,161,psychic,fairy,40,45,65,100,120,90,"soundproof, filter, technician"
123,scyther,15,560,100,bug,flying,70,110,80,55,80,105,"swarm, technician, steadfast"
124,jynx,14,406,159,ice,psychic,65,50,35,115,95,95,"oblivious, forewarn, dry-skin"
125,electabuzz,11,300,172,electric,,65,83,57,95,85,105,"static, vital-spirit"
126,magmar,13,445,173,fire,,65,95,57,100,85,93,"flame-body, vital-spirit"
127,pinsir,15,550,175,bug,,65,125,100,55,70,85,"hyper-cutter, mold-breaker, moxie"
128,tauros,14,884,172,normal,,75,100,95,40,70,110,"intimidate, anger-point, sheer-force"
129,magikarp,9,100,40,water,,20,10,55,15,20,80,"swift-swim, rattled"
130,gyarados,65,2350,189,water,flying,95,125,79,60,100,81,"intimidate, moxie"
131,lapras,25,2200,187,water,ice,130,85,80,85,95,60,"water-absorb, shell-armor, hydration"
132,ditto,3,40,101,normal,,48,48,48,48,48,48,"limber, imposter"
133,eevee,3,65,65,normal,,55,55,50,45,65,55,"run-away, adaptability, anticipation"
134,vaporeon,10,290,184,water,,130,65,60,110,95,65,"water-absorb, hydration"
135,jolteon,8,245,184,electric,,65,65,60,110,95,130,"volt-absorb, quick-feet"
136,flareon,9,250,184,fire,,65,130,60,95,110,65,"flash-fire, guts"
137,porygon,8,365,79,normal,,65,60,70,85,75,40,"trace, download, analytic"
138,omanyte,4,75,71,rock,water,35,40,100,90,55,35,"swift-swim, shell-armor, weak-armor"
139,omastar,10,350,173,rock,water,70,60,125,115,70,55,"swift-swim, shell-armor, weak-armor"
140,kabuto,5,115,71,rock,water,30,80,90,55,45,55,"swift-swim, battle-armor, weak-armor"
141,kabutops,13,405,173,rock,water,60,115,105,65,70,80,"swift-swim, battle-armor, weak-armor"
142,aerodactyl,18,590,180,rock,flying,80,105,65,60,75,130,"rock-head, pressure, unnerve"
143,snorlax,21,4600,189,normal,,160,110,65,65,110,30,"immunity, thick-fat, gluttony"
144,articuno,17,554,261,ice,flying,90,85,100,95,125,85,"pressure, snow-cloak"
145,zapdos,16,526,261,electric,flying,90,90,85,125,90,100,"pressure, static"
146,moltres,20,600,261,fire,flying,90,100,90,125,85,90,"pressure, flame-body"
147,dratini,18,33,60,dragon,,41,64,45,50,50,50,"shed-skin, marvel-scale"
148,dragonair,40,165,147,dragon,,61,84,65,70,70,70,"shed-skin, marvel-scale"
149,dragonite,22,2100,270,dragon,flying,91,134,95,100,100,80,"inner-focus, multiscale"
150,mewtwo,20,1220,306,psychic,,106,110,90,154,90,130,"pressure, unnerve"
151,mew,4,40,270,psychic,,100,100,100,100,100,100,synchronize
152,chikorita,9,64,64,grass,,45,49,65,49,65,45,"overgrow, leaf-guard"
153,bayleef,12,158,142,grass,,60,62,80,63,80,60,"overgrow, leaf-guard"
154,meganium,18,1005,236,grass,,80,82,100,83,100,80,"overgrow, leaf-guard"
155,cyndaquil,5,79,62,fire,,39,52,43,60,50,65,"blaze, flash-fire"
156,quilava,9,190,142,fire,,58,64,58,80,65,80,"blaze, flash-fire"
157,typhlosion,17,795,240,fire,,78,84,78,109,85,100,"blaze, flash-fire"
158,totodile,6,95,63,water,,50,65,64,44,48,43,"torrent, sheer-force"
159,croconaw,11,250,142,water,,65,80,80,59,63,58,"torrent, sheer-force"
160,feraligatr,23,888,239,water,,85,105,100,79,83,78,"torrent, sheer-force"
161,sentret,8,60,43,normal,,35,46,34,35,45,20,"run-away, keen-eye, frisk"
162,furret,18,325,145,normal,,85,76,64,45,55,90,"run-away, keen-eye, frisk"
163,hoothoot,7,212,52,normal,flying,60,30,30,36,56,50,"insomnia, keen-eye, tinted-lens"
164,noctowl,16,408,158,normal,flying,100,50,50,86,96,70,"insomnia, keen-eye, tinted-lens"
165,ledyba,10,108,53,bug,flying,40,20,30,40,80,55,"swarm, early-bird, rattled"
166,ledian,14,356,137,bug,flying,55,35,50,55,110,85,"swarm, early-bird, iron-fist"
167,spinarak,5,85,50,bug,poison,40,60,40,40,40,30,"swarm, insomnia, sniper"
168,ariados,11,335,140,bug,poison,70,90,70,60,70,40,"swarm, insomnia, sniper"
169,crobat,18,750,241,poison,flying,85,90,80,70,80,130,"inner-focus, infiltrator"
170,chinchou,5,120,66,water,electric,75,38,38,56,56,67,"volt-absorb, illuminate, water-absorb"
171,lanturn,12,225,161,water,electric,125,58,58,76,76,67,"volt-absorb, illuminate, water-absorb"
172,pichu,3,20,41,electric,,20,40,15,35,35,60,"static, lightning-rod"
173,cleffa,3,30,44,fairy,,50,25,28,45,55,15,"cute-charm, magic-guard, friend-guard"
174,igglybuff,3,10,42,normal,fairy,90,30,15,40,20,15,"cute-charm, competitive, friend-guard"
175,togepi,3,15,49,fairy,,35,20,65,40,65,20,"hustle, serene-grace, super-luck"
176,togetic,6,32,142,fairy,flying,55,40,85,80,105,40,"hustle, serene-grace, super-luck"
177,natu,2,20,64,psychic,flying,40,50,45,70,45,70,"synchronize, early-bird, magic-bounce"
178,xatu,15,150,165,psychic,flying,65,75,70,95,70,95,"synchronize, early-bird, magic-bounce"
179,mareep,6,78,56,electric,,55,40,40,65,45,35,"static, plus"
180,flaaffy,8,133,128,electric,,70,55,55,80,60,45,"static, plus"
181,ampharos,14,615,230,electric,,90,75,85,115,90,55,"static, plus"
182,bellossom,4,58,221,grass,,75,80,95,90,100,50,"chlorophyll, healer"
183,marill,4,85,88,water,fairy,70,20,50,20,50,40,"thick-fat, huge-power, sap-sipper"
184,azumarill,8,285,189,water,fairy,100,50,80,60,80,50,"thick-fat, huge-power, sap-sipper"
185,sudowoodo,12,380,144,rock,,70,100,115,30,65,30,"sturdy, rock-head, rattled"
186,politoed,11,339,225,water,,90,75,75,90,100,70,"water-absorb, damp, drizzle"
187,hoppip,4,5,50,grass,flying,35,35,40,35,55,50,"chlorophyll, leaf-guard, infiltrator"
188,skiploom,6,10,119,grass,flying,55,45,50,45,65,80,"chlorophyll, leaf-guard, infiltrator"
189,jumpluff,8,30,207,grass,flying,75,55,70,55,95,110,"chlorophyll, leaf-guard, infiltrator"
190,aipom,8,115,72,normal,,55,70,55,40,55,85,"run-away, pickup, skill-link"
191,sunkern,3,18,36,grass,,30,30,30,30,30,30,"chlorophyll, solar-power, early-bird"
192,sunflora,8,85,149,grass,,75,75,55,105,85,30,"chlorophyll, solar-power, early-bird"
193,yanma,12,380,78,bug,flying,65,65,45,75,45,95,"speed-boost, compound-eyes, frisk"
194,wooper,4,85,42,water,ground,55,45,45,25,25,15,"damp, water-absorb, unaware"
195,quagsire,14,750,151,water,ground,95,85,85,65,65,35,"damp, water-absorb, unaware"
196,espeon,9,265,184,psychic,,65,65,60,130,95,110,"synchronize, magic-bounce"
197,umbreon,10,270,184,dark,,95,65,110,60,130,65,"synchronize, inner-focus"
198,murkrow,5,21,81,dark,flying,60,85,42,85,42,91,"insomnia, super-luck, prankster"
199,slowking,20,795,172,water,psychic,95,75,80,100,110,30,"oblivious, own-tempo, regenerator"
200,misdreavus,7,10,87,ghost,,60,60,60,85,85,85,levitate
201,unown,5,50,118,psychic,,48,72,48,72,48,48,levitate
202,wobbuffet,13,285,142,psychic,,190,33,58,33,58,33,"shadow-tag, telepathy"
203,girafarig,15,415,159,normal,psychic,70,80,65,90,65,85,"inner-focus, early-bird, sap-sipper"
204,pineco,6,72,58,bug,,50,65,90,35,35,15,"sturdy, overcoat"
205,forretress,12,1258,163,bug,steel,75,90,140,60,60,40,"sturdy, overcoat"
206,dunsparce,15,140,145,normal,,100,70,70,65,65,45,"serene-grace, run-away, rattled"
207,gligar,11,648,86,ground,flying,65,75,105,35,65,85,"hyper-cutter, sand-veil, immunity"
208,steelix,92,4000,179,steel,ground,75,85,200,55,65,30,"rock-head, sturdy, sheer-force"
209,snubbull,6,78,60,fairy,,60,80,50,40,40,30,"intimidate, run-away, rattled"
210,granbull,14,487,158,fairy,,90,120,75,60,60,45,"intimidate, quick-feet, rattled"
211,qwilfish,5,39,88,water,poison,65,95,85,55,55,85,"poison-point, swift-swim, intimidate"
212,scizor,18,1180,175,bug,steel,70,130,100,55,80,65,"swarm, technician, light-metal"
213,shuckle,6,205,177,bug,rock,20,10,230,10,230,5,"sturdy, gluttony, contrary"
214,heracross,15,540,175,bug,fighting,80,125,75,40,95,85,"swarm, guts, moxie"
215,sneasel,9,280,86,dark,ice,55,95,55,35,75,115,"inner-focus, keen-eye, pickpocket"
216,teddiursa,6,88,66,normal,,60,80,50,50,50,40,"pickup, quick-feet, honey-gather"
217,ursaring,18,1258,175,normal,,90,130,75,75,75,55,"guts, quick-feet, unnerve"
218,slugma,7,350,50,fire,,40,40,40,70,40,20,"magma-armor, flame-body, weak-armor"
219,magcargo,8,550,151,fire,rock,60,50,120,90,80,30,"magma-armor, flame-body, weak-armor"
220,swinub,4,65,50,ice,ground,50,50,40,30,30,50,"oblivious, snow-cloak, thick-fat"
221,piloswine,11,558,158,ice,ground,100,100,80,60,60,50,"oblivious, snow-cloak, thick-fat"
222,corsola,6,50,144,water,rock,65,55,95,65,95,35,"hustle, natural-cure, regenerator"
223,remoraid,6,120,60,water,,35,65,35,65,35,65,"hustle, sniper, moody"
224,octillery,9,285,168,water,,75,105,75,105,75,45,"suction-cups, sniper, moody"
225,delibird,9,160,116,ice,flying,45,55,45,65,45,75,"vital-spirit, hustle, insomnia"
226,mantine,21,2200,170,water,flying,85,40,70,80,140,70,"swift-swim, water-absorb, water-veil"
227,skarmory,17,505,163,steel,flying,65,80,140,40,70,70,"keen-eye, sturdy, weak-armor"
228,houndour,6,108,66,dark,fire,45,60,30,80,50,65,"early-bird, flash-fire, unnerve"
229,houndoom,14,350,175,dark,fire,75,90,50,110,80,95,"early-bird, flash-fire, unnerve"
230,kingdra,18,1520,243,water,dragon,75,95,95,95,95,85,"swift-swim, sniper, damp"
231,phanpy,5,335,66,ground,,90,60,60,40,40,40,"pickup, sand-veil"
232,donphan,11,1200,175,ground,,90,120,120,60,60,50,"sturdy, sand-veil"
233,porygon2,6,325,180,normal,,85,80,90,105,95,60,"trace, download, analytic"
234,stantler,14,712,163,normal,,73,95,62,85,65,85,"intimidate, frisk, sap-sipper"
235,smeargle,12,580,88,normal,,55,20,35,20,45,75,"own-tempo, technician, moody"
236,tyrogue,7,210,42,fighting,,35,35,35,35,35,35,"guts, steadfast, vital-spirit"
237,hitmontop,14,480,159,fighting,,50,95,95,35,110,70,"intimidate, technician, steadfast"
238,smoochum,4,60,61,ice,psychic,45,30,15,85,65,65,"oblivious, forewarn, hydration"
239,elekid,6,235,72,electric,,45,63,37,65,55,95,"static, vital-spirit"
240,magby,7,214,73,fire,,45,75,37,70,55,83,"flame-body, vital-spirit"
241,miltank,12,755,172,normal,,95,80,105,40,70,100,"thick-fat, scrappy, sap-sipper"
242,blissey,15,468,608,normal,,255,10,10,75,135,55,"natural-cure, serene-grace, healer"
243,raikou,19,1780,261,electric,,90,85,75,115,100,115,"pressure, inner-focus"
244,entei,21,1980,261,fire,,115,115,85,90,75,100,"pressure, inner-focus"
245,suicune,20,1870,261,water,,100,75,115,90,115,85,"pressure, inner-focus"
246,larvitar,6,720,60,rock,ground,50,64,50,45,50,41,"guts, sand-veil"
247,pupitar,12,1520,144,rock,ground,70,84,70,65,70,51,shed-skin
248,tyranitar,20,2020,270,rock,dark,100,134,110,95,100,61,"sand-stream, unnerve"
249,lugia,52,2160,306,psychic,flying,106,90,130,90,154,110,"pressure, multiscale"
250,ho-oh,38,1990,306,fire,flying,106,130,90,110,154,90,"pressure, regenerator"
251,celebi,6,50,270,psychic,grass,100,100,100,100,100,100,natural-cure
252,treecko,5,50,62,grass,,40,45,35,65,55,70,"overgrow, unburden"
253,grovyle,9,216,142,grass,,50,65,45,85,65,95,"overgrow, unburden"
254,sceptile,17,522,239,grass,,70,85,65,105,85,120,"overgrow, unburden"
255,torchic,4,25,62,fire,,45,60,40,70,50,45,"blaze, speed-boost"
256,combusken,9,195,142,fire,fighting,60,85,60,85,60,55,"blaze, speed-boost"
257,blaziken,19,520,239,fire,fighting,80,120,70,110,70,80,"blaze, speed-boost"
258,mudkip,4,76,62,water,,50,70,50,50,50,40,"torrent, damp"
259,marshtomp,7,280,142,water,ground,70,85,70,60,70,50,"torrent, damp"
260,swampert,15,819,241,water,ground,100,110,90,85,90,60,"torrent, damp"
261,poochyena,5,136,56,dark,,35,55,35,30,30,35,"run-away, quick-feet, rattled"
262,mightyena,10,370,147,dark,,70,90,70,60,60,70,"intimidate, quick-feet, moxie"
263,zigzagoon,4,175,56,normal,,38,30,41,30,41,60,"pickup, gluttony, quick-feet"
264,linoone,5,325,147,normal,,78,70,61,50,61,100,"pickup, gluttony, quick-feet"
265,wurmple,3,36,56,bug,,45,45,35,20,30,20,"shield-dust, run-away"
266,silcoon,6,100,72,bug,,50,35,55,25,25,15,shed-skin
267,beautifly,10,284,178,bug,flying,60,70,50,100,50,65,"swarm, rivalry"
268,cascoon,7,115,72,bug,,50,35,55,25,25,15,shed-skin
269,dustox,12,316,173,bug,poison,60,50,70,50,90,65,"shield-dust, compound-eyes"
270,lotad,5,26,44,water,grass,40,30,30,40,50,30,"swift-swim, rain-dish, own-tempo"
271,lombre,12,325,119,water,grass,60,50,50,60,70,50,"swift-swim, rain-dish, own-tempo"
272,ludicolo,15,550,216,water,grass,80,70,70,90,100,70,"swift-swim, rain-dish, own-tempo"
273,seedot,5,40,44,grass,,40,40,50,30,30,30,"chlorophyll, early-bird, pickpocket"
274,nuzleaf,10,280,119,grass,dark,70,70,40,60,40,60,"chlorophyll, early-bird, pickpocket"
275,shiftry,13,596,216,grass,dark,90,100,60,90,60,80,"chlorophyll, wind-rider, pickpocket"
276,taillow,3,23,54,normal,flying,40,55,30,30,30,85,"guts, scrappy"
277,swellow,7,198,159,normal,flying,60,85,60,75,50,125,"guts, scrappy"
278,wingull,6,95,54,water,flying,40,30,30,55,30,85,"keen-eye, hydration, rain-dish"
279,pelipper,12,280,154,water,flying,60,50,100,95,70,65,"keen-eye, drizzle, rain-dish"
280,ralts,4,66,40,psychic,fairy,28,25,25,45,35,40,"synchronize, trace, telepathy"
281,kirlia,8,202,97,psychic,fairy,38,35,35,65,55,50,"synchronize, trace, telepathy"
282,gardevoir,16,484,233,psychic,fairy,68,65,65,125,115,80,"synchronize, trace, telepathy"
283,surskit,5,17,54,bug,water,40,30,32,50,52,65,"swift-swim, rain-dish"
284,masquerain,8,36,159,bug,flying,70,60,62,100,82,80,"intimidate, unnerve"
285,shroomish,4,45,59,grass,,60,40,60,40,60,35,"effect-spore, poison-heal, quick-feet"
286,breloom,12,392,161,grass,fighting,60,130,80,60,60,70,"effect-spore, poison-heal, technician"
287,slakoth,8,240,56,normal,,60,60,60,35,35,30,truant
288,vigoroth,14,465,154,normal,,80,80,80,55,55,90,vital-spirit
289,slaking,20,1305,252,normal,,150,160,100,95,65,100,truant
290,nincada,5,55,53,bug,ground,31,45,90,30,30,40,"compound-eyes, run-away"
291,ninjask,8,120,160,bug,flying,61,90,45,50,50,160,"speed-boost, infiltrator"
292,shedinja,8,12,83,bug,ghost,1,90,45,30,30,40,wonder-guard
293,whismur,6,163,48,normal,,64,51,23,51,23,28,"soundproof, rattled"
294,loudred,10,405,126,normal,,84,71,43,71,43,48,"soundproof, scrappy"
295,exploud,15,840,221,normal,,104,91,63,91,73,68,"soundproof, scrappy"
296,makuhita,10,864,47,fighting,,72,60,30,20,30,25,"thick-fat, guts, sheer-force"
297,hariyama,23,2538,166,fighting,,144,120,60,40,60,50,"thick-fat, guts, sheer-force"
298,azurill,2,20,38,normal,fairy,50,20,40,20,40,20,"thick-fat, huge-power, sap-sipper"
299,nosepass,10,970,75,rock,,30,45,135,45,90,30,"sturdy, magnet-pull, sand-force"
300,skitty,6,110,52,normal,,50,45,45,35,35,50,"cute-charm, normalize, wonder-skin"
301,delcatty,11,326,140,normal,,70,65,65,55,55,90,"cute-charm, normalize, wonder-skin"
302,sableye,5,110,133,dark,ghost,50,75,75,65,65,50,"keen-eye, stall, prankster"
303,mawile,6,115,133,steel,fairy,50,85,85,55,55,50,"hyper-cutter, intimidate, sheer-force"
304,aron,4,600,66,steel,rock,50,70,100,40,40,30,"sturdy, rock-head, heavy-metal"
305,lairon,9,1200,151,steel,rock,60,90,140,50,50,40,"sturdy, rock-head, heavy-metal"
306,aggron,21,3600,239,steel,rock,70,110,180,60,60,50,"sturdy, rock-head, heavy-metal"
307,meditite,6,112,56,fighting,psychic,30,40,55,40,55,60,"pure-power, telepathy"
308,medicham,13,315,144,fighting,psychic,60,60,75,60,75,80,"pure-power, telepathy"
